cik,conml,year,href
862480,K-Swiss Inc,2012,https://www.sec.gov/Archives/edgar/data/0000862480/000143774913000532/ex10-1.htm
862480,K-Swiss Inc,2012,https://www.sec.gov/Archives/edgar/data/0000862480/000143774913005172/ex99-1.htm
862480,K-Swiss Inc,2012,https://www.sec.gov/Archives/edgar/data/0000862480/000143774913000532/ex10-2.htm
862510,Transatlantic Holdings Inc.,2011,https://www.sec.gov/Archives/edgar/data/0000862510/000119312512098329/d311373dex991.htm
862510,Transatlantic Holdings Inc.,2011,https://www.sec.gov/Archives/edgar/data/0000862510/000119312512041318/d295886dex991.htm
862510,Transatlantic Holdings Inc.,2011,https://www.sec.gov/Archives/edgar/data/0000862510/000119312512030381/d291890d8k.htm
862510,Transatlantic Holdings Inc.,2011,https://www.sec.gov/Archives/edgar/data/0000862510/000115752312000435/a50152851_ex991.htm
862510,Transatlantic Holdings Inc.,2011,https://www.sec.gov/Archives/edgar/data/0000862510/000119312512073040/d303374dex991.htm
862510,Transatlantic Holdings Inc.,2011,https://www.sec.gov/Archives/edgar/data/0000862510/000119312512041318/d295886d8k.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906044897/a06-14555_28k.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906044897/a06-14555_2ex10d1.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906044897/a06-14555_2ex10d3.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906046226/a06-15896_18ka.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906071211/a06-23359_18k.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906066198/a06-21147_18k.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906044897/a06-14555_2ex99d1.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906066198/a06-21147_1ex99.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906044897/a06-14555_2ex2d1.htm
863437,Hector Communications Corp,2005,https://www.sec.gov/Archives/edgar/data/0000863437/000110465906044897/a06-14555_2ex10d2.htm
863680,Cardiogenesis Corp,2010,https://www.sec.gov/Archives/edgar/data/0000863680/000095012311030256/a59115exv10w1.htm
863680,Cardiogenesis Corp,2010,https://www.sec.gov/Archives/edgar/data/0000863680/000095012311036499/a59289e8vk.htm
863680,Cardiogenesis Corp,2010,https://www.sec.gov/Archives/edgar/data/0000863680/000095012311030256/a59115e8vk.htm
863680,Cardiogenesis Corp,2010,https://www.sec.gov/Archives/edgar/data/0000863680/000095012311036152/a59279exv2w1.htm
863680,Cardiogenesis Corp,2010,https://www.sec.gov/Archives/edgar/data/0000863680/000095012311030256/a59115exv4w1.htm
